client_id,sim_handshake_time,cpu_server_sign,cpu_server_shared,cpu_client_verify,cpu_client_shared,client_pub_size,server_pub_size,signature_size
0,0.0405,0.0003563000063877553,0.00012749998131766915,0.0001176999940071255,3.759999526664615e-05,32,32,64
1,0.040499999999999994,3.8700003642588854e-05,4.509999416768551e-05,0.00010659999679774046,4.119999357499182e-05,32,32,64
2,0.0405,3.860000288113952e-05,3.940000897273421e-05,0.00010770000517368317,3.6600016755983233e-05,32,32,64
3,0.04050000000000001,3.7999998312443495e-05,3.890000516548753e-05,0.0001066999975591898,3.6900019040331244e-05,32,32,64
4,0.04050000000000001,3.8300000596791506e-05,3.9099977584555745e-05,0.00010629999451339245,3.960001049563289e-05,32,32,64
5,0.04050000000000001,3.7699996028095484e-05,3.9000005926936865e-05,0.00010699999984353781,3.6600016755983233e-05,32,32,64
6,0.04049999999999998,3.7699996028095484e-05,4.0099985199049115e-05,0.00010420000762678683,3.6299985367804766e-05,32,32,64
7,0.04049999999999998,3.7999998312443495e-05,3.91000066883862e-05,0.00010459998156875372,3.640001523308456e-05,32,32,64
8,0.04049999999999998,3.779999678954482e-05,3.9000005926936865e-05,0.0001086000120267272,3.840000135824084e-05,32,32,64
9,0.04049999999999998,3.759999526664615e-05,3.6299985367804766e-05,0.00010720000136643648,3.680001827888191e-05,32,32,64
