client_id,sim_handshake_time,cpu_client_kem_encap,cpu_server_kem_decap,cpu_server_sig,cpu_client_sig_verify,pk_size_bytes,ct_size_bytes,sig_size_bytes
0,0.0405,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
1,0.040499999999999994,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
2,0.0405,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
3,0.04050000000000001,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
4,0.04050000000000001,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
5,0.04050000000000001,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
6,0.04049999999999998,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
7,0.04049999999999998,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
8,0.04049999999999998,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
9,0.04049999999999998,0.0008,0.0006,0.0025,0.0005,1184,1088,2700
